# laptime,x,y,x_ref,y_ref,speed,speed_ref,Tracking Error
0.346721  ,0.000000  ,0.000000  ,-0.000755 ,0.049994  ,0.000000  ,4.915960  ,0.049949  
0.380409  ,0.000000  ,0.000000  ,-0.000755 ,0.049994  ,0.000000  ,4.915960  ,0.049949  
0.381149  ,0.000000  ,0.000000  ,-0.000755 ,0.049994  ,0.000000  ,4.915960  ,0.049949  
0.381934  ,0.000000  ,0.000000  ,-0.000755 ,0.049994  ,0.000000  ,4.915960  ,0.049949  
0.383305  ,0.000000  ,0.000000  ,-0.000755 ,0.049994  ,0.000000  ,4.915960  ,0.049949  
0.384534  ,0.000000  ,0.000000  ,-0.000755 ,0.049994  ,0.000000  ,4.915960  ,0.049949  
0.385803  ,0.000000  ,0.000000  ,-0.000755 ,0.049994  ,0.000000  ,4.915960  ,0.049949  
0.387141  ,0.000000  ,0.000000  ,-0.000755 ,0.049994  ,0.000000  ,4.915960  ,0.049949  
0.388579  ,0.000000  ,0.000000  ,-0.000755 ,0.049994  ,0.000000  ,4.915960  ,0.049949  
0.390341  ,0.000000  ,0.000000  ,-0.000755 ,0.049994  ,0.000000  ,4.915960  ,0.049949  
0.391856  ,0.000000  ,0.000000  ,-0.000755 ,0.049994  ,0.000000  ,4.915960  ,0.049949  
0.392867  ,0.000234  ,0.000000  ,-0.000755 ,0.049994  ,0.046751  ,4.915960  ,0.049963  
0.394053  ,0.000234  ,0.000000  ,-0.000755 ,0.049994  ,0.046751  ,4.915960  ,0.049963  
0.395210  ,0.000234  ,0.000000  ,-0.000755 ,0.049994  ,0.046751  ,4.915960  ,0.049963  
0.396113  ,0.001177  ,0.000000  ,-0.000755 ,0.049994  ,0.141851  ,4.915960  ,0.050020  
0.398121  ,0.001177  ,0.000000  ,-0.000755 ,0.049994  ,0.141851  ,4.915960  ,0.050020  
0.403745  ,0.003071  ,0.000000  ,-0.000755 ,0.049994  ,0.236951  ,4.915960  ,0.050134  
0.406223  ,0.003071  ,0.000000  ,-0.000755 ,0.049994  ,0.236951  ,4.915960  ,0.050134  
0.410470  ,0.003071  ,0.000000  ,-0.000755 ,0.049994  ,0.236951  ,4.915960  ,0.050134  
