# seconds, nanoseconds, trueX, trueY, trueZ, trueW, pfX, pfY, pfZ, pfW
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.715784192000000000e+09,5.711266560000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-6.490387320518493652e-01,2.716952189803123474e-02,-1.844714279286563396e-03,9.999982714653015137e-01
1.715784192000000000e+09,5.765972480000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-6.315997242927551270e-01,2.649272233247756958e-02,-1.545876963064074516e-03,9.999988079071044922e-01
1.715784192000000000e+09,5.898586240000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-7.184202671051025391e-01,2.685856819152832031e-02,-1.214776770211756229e-03,9.999992847442626953e-01
1.715784192000000000e+09,5.960681600000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-7.690738439559936523e-01,2.573239617049694061e-02,-2.257219282910227776e-03,9.999974370002746582e-01
1.715784192000000000e+09,6.037213440000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-8.334627151489257812e-01,2.300343289971351624e-02,-7.388215744867920876e-04,9.999997019767761230e-01
1.715784192000000000e+09,6.109623680000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-9.338381290435791016e-01,2.115098200738430023e-02,-4.797750989382620901e-06,1.000000000000000000e+00
1.715784192000000000e+09,6.228711680000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-9.470856785774230957e-01,2.221319451928138733e-02,-5.339702474884688854e-04,9.999998807907104492e-01
1.715784192000000000e+09,6.310906240000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-8.168331980705261230e-01,2.284848317503929138e-02,-2.247831434942781925e-04,1.000000000000000000e+00
1.715784192000000000e+09,6.391187840000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-7.728843688964843750e-01,2.091746032238006592e-02,-3.862051016767509282e-05,1.000000000000000000e+00
1.715784192000000000e+09,6.456448000000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-7.362295389175415039e-01,2.045726217329502106e-02,-6.244584219530224800e-04,9.999998211860656738e-01
1.715784192000000000e+09,6.531675520000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-6.975409984588623047e-01,2.102656289935112000e-02,-4.033157892990857363e-05,1.000000000000000000e+00
1.715784192000000000e+09,6.596950400000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-5.686032176017761230e-01,2.237408049404621124e-02,-7.820015889592468739e-04,9.999997019767761230e-01
1.715784192000000000e+09,6.672512640000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-6.280185580253601074e-01,2.215123549103736877e-02,-6.644892855547368526e-04,9.999997615814208984e-01
1.715784192000000000e+09,6.749160960000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.942021369934082031e-01,2.329941652715206146e-02,-9.602305362932384014e-04,9.999995231628417969e-01
1.715784192000000000e+09,6.848208000000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.537011981010437012e-01,2.332463115453720093e-02,-5.128071061335504055e-04,9.999998807907104492e-01
1.715784192000000000e+09,6.913797120000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.587065279483795166e-01,2.173357270658016205e-02,-5.231628310866653919e-04,9.999998807907104492e-01
1.715784192000000000e+09,6.992043520000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.135441482067108154e-01,2.457335591316223145e-02,-1.132124918513000011e-03,9.999993443489074707e-01
1.715784192000000000e+09,7.068418560000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.965857326984405518e-01,2.598088793456554413e-02,-1.484137610532343388e-03,9.999989271163940430e-01
1.715784192000000000e+09,7.173904640000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.840199112892150879e-01,2.243356406688690186e-02,-9.963779011741280556e-04,9.999995231628417969e-01
1.715784192000000000e+09,7.239758720000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.404890596866607666e-01,2.282966114580631256e-02,-1.474705990403890610e-03,9.999989271163940430e-01
1.715784192000000000e+09,7.311011200000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.460524082183837891e-01,2.361265011131763458e-02,-6.393609219230711460e-04,9.999998211860656738e-01
1.715784192000000000e+09,7.371596160000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.726307451725006104e-01,2.562499418854713440e-02,-6.479111034423112869e-04,9.999997615814208984e-01
1.715784192000000000e+09,7.478668800000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.358917474746704102e-01,2.387439832091331482e-02,-1.467289286665618420e-03,9.999989271163940430e-01
1.715784192000000000e+09,7.550984960000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.782123267650604248e-01,2.563738636672496796e-02,-2.158632734790444374e-03,9.999976754188537598e-01
1.715784192000000000e+09,7.611490560000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.268773198127746582e-01,2.929339744150638580e-02,-2.061053412035107613e-03,9.999978542327880859e-01
1.715784192000000000e+09,7.691831040000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-5.055872201919555664e-01,2.708443440496921539e-02,-1.111990073695778847e-03,9.999994039535522461e-01
1.715784192000000000e+09,7.807520000000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-5.079945921897888184e-01,2.599485777318477631e-02,-7.790264207869768143e-04,9.999997019767761230e-01
1.715784192000000000e+09,7.898382720000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-5.135639309883117676e-01,2.554490603506565094e-02,-3.173386503476649523e-04,9.999999403953552246e-01
1.715784192000000000e+09,7.960924160000000000e+08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-6.100901961326599121e-01,2.492512390017509460e-02,-6.139299366623163223e-04,9.999998211860656738e-01
